transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar
0xf5f43bebf6a740dd5946a041f655c26f3cc50e4afb43712f0b5c23495e976b57,0,0xa3dc12f50176f7157abb4b2f7381509549fdffa3a781af16bea645392b17fe60,66277,242734,242734,0x29fc18dc5036f5b5e153e5063e60428394685a3c,0x4086b7cecbc51a3188bd9426697fb6aad6ded5189743fd00126b286fe93cb5d7,,58518655856,,,,
0x36ad43dfc870cee29e96b97ffd14d9318e7ff2b29a40c4c2b3a193b2b78b4ce3,1,0xe713838170a582a0babca59784d27c1eec7421189f5647427c0620e7d38bde0e,67263,302234,281234,0xd251a133116194faa5ad2bf40f4baf2aa97d2ae4,0xbab60b5fc0bc709e8da8a04c8882ac991b77b489fd0ab11cc8fcde905c41fbb9,,57074419627,,,,
0x4cae4fa62da2a5a68c44a8558ee2b261a373aa3b7ca33bffd3e630523645ff16,0,0xdaa9f418cd7f172d703498cf3f3c69444bc664627bb8e8efd84e493e8d11ab98,68275,577524,577524,0xa02ce4399d1b4a445f9ddb17542266bd629f25de,0x2a7ca0776382cbf92e26e77e628572a756b55df8622f4f13b5ecca9b49106cbe,,55941992139,,,,
0xb7b49a6291f0e75cdc05576acc3489a2f504958722b6924e5f63791ac92d0719,0,0x8c7a31e8c5c9ae8a8ca29fb20909703559a0166ada5dabe1946ebc65e4284cb7,68300,577524,577524,0x33824f7a78a8357a26758a8bbb71f5aacc164f46,0xd04d69ef0fccd51b8cff16e668cb66628e7e3e0ef3efb051bf99532092edd33d,,58947904368,,,,
0x5f0cb0dc62ee9dd39a6efc98e82ca1462add01ac9f2451719fb939a892c6aad4,0,0xd75a78ae69c84ef5aea196693ddb5a69759969a3e6349534d084630489514c92,68436,184280,184280,0xedf619865c8303e591ad2c4b373aae82997b337a,0x220e52e98d2b58b52357bf113b14c4b04448ad1239e71a1849d5b31dce5582aa,,60746997206,,,,
0x115ea4a3b71338367714295f2de0e59c8c22a8a11ac4e08410a2f219ec894a9e,1,0xb193594f73ae329238ea74adf289b13b57fbc355c453a678fa7639bf7c98fbbc,68480,222090,184280,0x93e8f703c29337500d426549633f2be43d63a0fa,0xc6d6f37791a06d2c73ff82d300fb20ab6ec1de0142c479251cd0754a7e5e64ec,,59551844667,,,,
0x7e47c31742ef55701c9ddbe658bd5867f70ef9af55bda1753a39c90a8100c843,1,0xa11e5d8a76f1eadce35252f3284f40e5431539cfb4375d9f421ac4d08e161d2b,68518,229017,184280,0x45f4054e7384d9c4b5be63d3927d9b7d18781fdc,0xa74d175d98532c3111185c7d8dcdc2c069ff6258e48bf15170a4b9d6f017636a,,55348400716,,,,
0x3fec580cf89a28621985d4b9f33fe8b19ee8444983ec9be4d5828d9e2662c925,0,0xfebdfe81b37d993f5352341f738c748bebc9a0cb72937862875a8ad8859e941c,69100,177080,177080,0x0150c34b0f1fb58b755322e7dcfa42d2df390ad4,0xcc15956dbba9553aa01adfc04be016c58f9569756cc676b14266c7bf1c7c3080,,56094833696,,,,
0xa51515e730529ddde5c87254502bb911f009ada5bf667f3ef3785c72fc104820,0,0x4ec2e5555b774ba1d331689154ec381d36ca87218ac5cbde6bb6bd67e2a9448a,69109,177080,177080,0x553c1c567401215c057a972aa823a516e5f1eb1a,0xc2eb3d010c73fc8c6ba0185f54b11fe3ca3ffab103cc11446cf6406dbbe90372,,56665011194,,,,
0xbe03e59781b5e9b63fecec9b55f54d8c015941b679e9d0c74ef1069754631a58,1,0x4ec2e5555b774ba1d331689154ec381d36ca87218ac5cbde6bb6bd67e2a9448a,69109,565296,388216,0x709013617bb52c49003a9c8f3035ef9ec9912b17,0xa1999ea57fad68c914367bdf363e8f83bb6d25a93420a820e45dd1bcee3940cf,,50000000000,,,,
